Co,County Name,AEA,Dist,Bldg,District Name,Building Name,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Building Total,Hispanic Male,Hispanic Female,Hispanic Total,Native American Male,Native American Female,Native American Total,Asian Male,Asian Female,Asian Total,Black Male,Black Female,Black Total,Pacific Islander Male,Pacific Islander Female,Pacific Islander Total,White Male,White Female,White Total,Multi-Race Male,Multi-Race Female,Multi-Race Total,Total Male,Total Female
07,Black Hawk,07,6795,0535,Waterloo,Lincoln Elementary School,34,78,73,62,61,60,69,0,0,0,0,0,0,0,437,37,28,65,0,1,1,2,3,5,82,90,172,1,4,5,77,49,126,29,34,63,228,209
07,Black Hawk,07,6795,0550,Waterloo,Lou Henry Elementary School,0,102,93,110,86,88,81,0,0,0,0,0,0,0,560,23,13,36,0,0,0,12,10,22,66,61,127,1,2,3,172,168,340,19,13,32,293,267
07,Black Hawk,07,6795,0553,Waterloo,Lowell Elementary School,0,71,76,55,65,67,53,0,0,0,0,0,0,0,387,42,34,76,0,0,0,0,0,0,60,58,118,6,2,8,84,72,156,14,15,29,206,181
07,Black Hawk,07,6795,0554,Waterloo,Highland Elementary School,36,96,92,79,79,61,66,0,0,0,0,0,0,0,509,70,69,139,1,0,1,1,1,2,69,77,146,6,6,12,76,87,163,24,22,46,247,262
07,Black Hawk,07,6795,0565,Waterloo,Orange Elementary School,0,83,87,74,83,76,71,0,0,0,0,0,0,0,474,15,13,28,0,1,1,0,0,0,8,6,14,0,0,0,188,196,384,27,20,47,238,236
07,Black Hawk,07,6795,0801,Waterloo,CUCCC - Nordic Preschool,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,2,2
07,Black Hawk,07,6795,0806,Waterloo,CUCCC - Westridge Preschool,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,17,0,0,0,8,9
07,Black Hawk,07,6795,0811,Waterloo,Grin and Grow Ltd. Pinecrest Preschool,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,2,6,0,0,0,0,0,0,1,1,2,0,0,0,2,1,3,0,0,0,7,4
07,Black Hawk,07,6795,0816,Waterloo,Grin and Grow Ltd. W 4th St Preschool,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,3,0,0,0,0,0,0,1,2,3,0,0,0,1,4,5,0,1,1,4,8
07,Black Hawk,07,6795,0821,Waterloo,A to Z Learning Center Preschool,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,3,0,0,0,0,0,0,1,4,5,0,0,0,3,5,8,2,1,3,6,13
